2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration timezone -> org.hibernate.type.BasicTypeReference@e077866
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration java.util.TimeZone -> org.hibernate.type.BasicTypeReference@e077866
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration ZoneOffset -> org.hibernate.type.BasicTypeReference@ed3068a
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration java.time.ZoneOffset -> org.hibernate.type.BasicTypeReference@ed3068a
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration url -> org.hibernate.type.BasicTypeReference@7c2b6087
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration java.net.URL -> org.hibernate.type.BasicTypeReference@7c2b6087
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration vector -> org.hibernate.type.BasicTypeReference@3fffff43
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration row_version -> org.hibernate.type.BasicTypeReference@a8e6492
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:371 - Adding type registration object -> org.hibernate.type.JavaObjectType@efde75f
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:371 - Adding type registration java.lang.Object -> org.hibernate.type.JavaObjectType@efde75f
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:371 - Adding type registration null -> org.hibernate.type.NullType@3f053c80
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration imm_date -> org.hibernate.type.BasicTypeReference@6c6c5427
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration imm_time -> org.hibernate.type.BasicTypeReference@618c5d94
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration imm_timestamp -> org.hibernate.type.BasicTypeReference@5b40ceb
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration imm_calendar -> org.hibernate.type.BasicTypeReference@13c3c1e1
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration imm_calendar_date -> org.hibernate.type.BasicTypeReference@1d8062d2
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration imm_calendar_time -> org.hibernate.type.BasicTypeReference@1e63ec0b
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration imm_binary -> org.hibernate.type.BasicTypeReference@3b956878
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration imm_serializable -> org.hibernate.type.BasicTypeReference@36546a22
2024-06-10 16:42:42 WARN  pooling:81 - HHH10001002: Using built-in connection pool (not intended for production use)
2024-06-10 16:42:42 INFO  pooling:136 - HHH10001005: Loaded JDBC driver class: com.mysql.jdbc.Driver
2024-06-10 16:42:42 INFO  pooling:158 - HHH10001012: Connecting with JDBC URL [jdbc:mysql://localhost/course_management]
2024-06-10 16:42:42 INFO  pooling:167 - HHH10001001: Connection properties: {password=****, user=root}
2024-06-10 16:42:42 INFO  pooling:171 - HHH10001003: Autocommit mode: false
2024-06-10 16:42:42 INFO  pooling:372 - HHH10001115: Connection pool size: 20 (min=1)
2024-06-10 16:42:43 WARN  JdbcEnvironmentInitiator:363 - HHH000342: Could not obtain connection to query metadata
java.lang.IllegalStateException: Cannot get a connection as the driver manager is not properly initialized
	at org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl.getConnection(DriverManagerConnectionProviderImpl.java:260) ~[hibernate-core-6.5.0.Final.jar:6.5.0.Final]
	at org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess.obtainConnection(JdbcEnvironmentInitiator.java:446) ~[hibernate-core-6.5.0.Final.jar:6.5.0.Final]
	at org.hibernate.resource.transaction.backend.jdbc.internal.JdbcIsolationDelegate.delegateWork(JdbcIsolationDelegate.java:61) ~[hibernate-core-6.5.0.Final.jar:6.5.0.Final]
	at org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator.getJdbcEnvironmentUsingJdbcMetadata(JdbcEnvironmentInitiator.java:294) ~[hibernate-core-6.5.0.Final.jar:6.5.0.Final]
	at org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator.initiateService(JdbcEnvironmentInitiator.java:122) ~[hibernate-core-6.5.0.Final.jar:6.5.0.Final]
	at org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator.initiateService(JdbcEnvironmentInitiator.java:76) ~[hibernate-core-6.5.0.Final.jar:6.5.0.Final]
	at org.hibernate.boot.registry.internal.StandardServiceRegistryImpl.initiateService(StandardServiceRegistryImpl.java:130) ~[hibernate-core-6.5.0.Final.jar:6.5.0.Final]
	at org.hibernate.service.internal.AbstractServiceRegistryImpl.createService(AbstractServiceRegistryImpl.java:263) ~[hibernate-core-6.5.0.Final.jar:6.5.0.Final]
	at org.hibernate.service.internal.AbstractServiceRegistryImpl.initializeService(AbstractServiceRegistryImpl.java:238) ~[hibernate-core-6.5.0.Final.jar:6.5.0.Final]
	at org.hibernate.service.internal.AbstractServiceRegistryImpl.getService(AbstractServiceRegistryImpl.java:215) ~[hibernate-core-6.5.0.Final.jar:6.5.0.Final]
	at org.hibernate.service.ServiceRegistry.requireService(ServiceRegistry.java:68) ~[hibernate-core-6.5.0.Final.jar:6.5.0.Final]
	at org.hibernate.engine.jdbc.internal.JdbcServicesImpl.configure(JdbcServicesImpl.java:52) ~[hibernate-core-6.5.0.Final.jar:6.5.0.Final]
